rep,id,ktr,ka,cl,v,emax,ec50,kout,e0
1,1,0.735994055489457,0.597919337675972,0.281890567395996,8.46100039535605,0.988046960565696,1.46839310529054,0.0457581830999958,87.3310248587731
2,1,0.31423557552742,2.06158835679796,0.254400683413366,8.7630140383651,0.984122900006752,1.59001065583419,0.0531468687819567,96.5447134961759
3,1,0.95665481714573,0.405231809415345,0.289608474374391,7.70975143497876,0.986348068416796,0.929892990545849,0.0464491658677175,89.8574192942581
4,1,0.278870760334756,1.66299375457723,0.264220929686276,7.66781657827587,0.988505152909717,1.39736569954596,0.0511820544094428,87.7636226919625
5,1,0.357111913788066,1.12919019899868,0.27594781115745,8.09097225687247,0.985145833524436,1.05394993514041,0.0483009488493837,91.2844536464255
6,1,0.666856935489168,0.551066413114095,0.310931407624786,7.81135168040221,0.990192870677648,0.926907049958117,0.0481220692793075,88.5471094024178
7,1,0.598416145988659,0.797410973190579,0.251915083903228,7.93868298583615,0.987084456466071,1.9184672017913,0.0521233046493564,86.2830502622931
8,1,0.67888623048506,0.70818510181837,0.262535091423428,8.65724436688794,0.988984924905036,1.33475445018741,0.054258191258394,91.0956826273832
9,1,0.406940070715205,0.615720867842718,0.269547537086533,7.435270671724,0.98819917666759,1.09931402266005,0.0501050327278316,91.949600363854
10,1,0.491143983497681,0.739126357414328,0.281612992300102,7.64396532977253,0.989602977400237,0.85247558197125,0.04638947018934,97.9587567697933
1,2,1.19636342272979,1.01114088936568,0.121830102383375,10.0198654935897,0.99172268783743,1.59748915862649,0.0498439889222771,101.932701733107
2,2,0.441624007030812,1.07681723673562,0.111470044389825,9.0624650097821,0.992387036803818,1.77892192951689,0.0496122208965868,101.139737024751
3,2,0.692878677781066,1.04078660802393,0.106947342665026,7.35663659718024,0.982066894497814,1.66172397437801,0.0486310432270499,101.014499438873
4,2,1.15894236114176,1.28150440770312,0.113529879483432,7.84594736433909,0.980026586346216,1.38784606770716,0.0469256362597547,101.710610200974
5,2,0.276852017489605,0.923350924572977,0.112330923432259,8.45117763156439,0.988594602507592,1.56092247280294,0.05105585998284,97.7701258239963
6,2,0.550951192703504,0.566977214074691,0.110607784711444,7.63854880157912,0.972619689485995,1.45717120701727,0.0470891283749426,100.259170105762
7,2,1.78224580433016,0.727739127629854,0.113740163947457,7.91609607876931,0.986968925043522,1.65952965751942,0.0542479695658444,105.49956471993
8,2,0.587153142648411,0.652447772774908,0.113675703835313,8.44077369248466,0.987443187898603,1.60780081839318,0.045023418603394,101.275416110069
9,2,1.56548477980083,0.426143826400861,0.12157226941989,8.47534789097535,0.987173900026229,1.46961250265825,0.046693823207157,100.543058512495
10,2,0.61721853344778,1.21026960690876,0.108216642435382,7.09712058195018,0.984001215507579,1.61807246814273,0.0501462755902088,100.388740149228
1,3,0.804443921492418,0.834369204100266,0.125040441397243,6.92444953373252,0.989985331992403,1.84190564324681,0.0560824960260076,101.603703176147
2,3,0.719355452541755,1.17354128865815,0.130319469623513,7.11483157694528,0.984477143118926,1.9815619947149,0.0528642667621411,99.2899060952852
3,3,0.562522781510434,1.69941155279989,0.137368422234669,6.92091815292514,0.990731053618294,1.38732156997351,0.0493531327532647,100.03165259701
4,3,1.02292688473187,0.838358762035312,0.136400314300247,7.7111227385788,0.981353845748612,1.47650518736043,0.055472848682873,98.611829523548
5,3,0.854200230268391,0.939119946038361,0.134999809250524,7.542926382123,0.982286361732932,1.58217968597398,0.0605878732028403,99.4592366673796
6,3,0.774905416445278,1.62266637945003,0.126355239325215,7.87152488592714,0.989136725805349,2.14161472944154,0.0581733903971251,99.7278315249347
7,3,0.552329240269673,1.66782010130125,0.135846953284701,6.85191857287532,0.987581633701874,1.49432016256403,0.0561467362933462,102.885736843305
8,3,1.45864340276609,0.777138027898509,0.139217146943202,7.83813834088995,0.990055204017444,1.73041280322727,0.0502793405883949,99.8206628993396
9,3,1.98780901525034,0.753569776237941,0.141078698478692,7.57106166402754,0.990890874224883,1.55601796275073,0.0515034047249932,104.405805118809
10,3,1.12295841050614,0.734315534166862,0.133942214714974,7.2161969872555,0.992125023418244,1.788452706623,0.0526348901440753,99.1912982980965
1,4,1.59242951943878,1.27001485259904,0.12328016762244,8.67506902105903,0.988322689598638,0.453109079442362,0.0507897366160465,100.769771245088
2,4,1.37290269809017,1.26059052826453,0.11421630983941,8.82651899011939,0.984994664175249,0.367821455112997,0.0536636589894213,105.91560936347
3,4,1.62681678455535,1.13949623047149,0.109122070546515,8.74763809721256,0.983470361007534,0.504770155696364,0.0517254739617386,97.2505613922194
