rep,id,eta_ktr,eta_ka,eta_cl,eta_v,eta_emax,eta_ec50,eta_kout,eta_e0
1,1,-0.524580751630774,-0.519629683150832,0.739818513433895,0.0908919616406136,-0.048553439719921,0.305552262171759,-0.146540095561282,-0.101564952634198
2,1,-1.37565984839471,0.718146470494967,0.637210094525216,0.125964459048272,-0.336425106706724,0.385124302923605,0.00314845333933819,-0.00126448114062077
3,1,-0.262360159796375,-0.908626268881241,0.766829499115498,-0.00208950727544493,-0.18316979194418,-0.151302178452978,-0.131552229401288,-0.0730465504159345
4,1,-1.49505434365331,0.50328918249614,0.675085184740332,-0.00754355054396166,-0.00900307566256919,0.255972405856794,-0.0345217660714781,-0.0966236398133474
5,1,-1.24775357689242,0.116170475570381,0.718511334517703,0.0461734489038575,-0.268788787359737,-0.0260714659443541,-0.0924595314816061,-0.0572902390562177
6,1,-0.623227260158435,-0.601230207316916,0.837871910281988,0.011002564322041,0.151492064686492,-0.154518403244558,-0.0961698442006805,-0.0877360144438041
7,1,-0.731516385317222,-0.231715345109207,0.627391638776312,0.0271719356708512,-0.126973981776089,0.572910119733726,-0.0162985819845114,-0.113637560503763
8,1,-0.605349234540435,-0.350380038404265,0.668684331399708,0.113821014470704,0.0341162157205554,0.210130927422091,0.0238432350987691,-0.0593603228965902
9,1,-1.11713686534561,-0.490291816956808,0.695044341415216,-0.0383404707053089,-0.035583104994316,0.0160699544429549,-0.0557892801669281,-0.0500301296553663
10,1,-0.929065463327123,-0.307616650519391,0.738833337338489,-0.0106589642741018,0.0924862778185141,-0.23822712815224,-0.132838238958088,0.0132758063378203
1,2,-0.0387610400348052,0.00574902458210748,-0.0990729525654666,0.259994216744557,0.322627146731476,0.38981670571565,-0.061012831029227,0.0530420741357527
2,2,-1.03534393631386,0.0686794249580414,-0.18794452868682,0.159565704155159,0.406962636016111,0.497391108175987,-0.0656735444357786,0.0452323610742146
3,2,-0.584947877819705,0.0346465189392022,-0.22936383460752,-0.0489726108156542,-0.460287122646904,0.429239187173483,-0.0856486603413806,0.0439933308753925
4,2,-0.0705396829862229,0.242704444111683,-0.169634365673964,0.0154216841381093,-0.570120446967074,0.249136538637652,-0.121346595402885,0.0508608915761543
5,2,-1.50231966300181,-0.0850761789580603,-0.180251234981596,0.0897303413122833,-0.00110044174460615,0.36666056014676,-0.0369904097530467,0.0113483339924341
6,2,-0.814156567802356,-0.572766425070824,-0.195709950519775,-0.011367817329778,-0.893129094031998,0.297880611773231,-0.117868582547545,0.0364877999169971
7,2,0.359826742306417,-0.323142898364575,-0.167783840009774,0.0243227099257256,-0.135996406897654,0.427917808308107,0.0236548275004874,0.0874360925671575
